cell_id,state_label,state_type,state_depth,ted_parent_state,ted_cluster,ted_depth,ted_cellID
cell_1,12,internal_or_root,4,11,12,3,1
cell_2,13,internal_or_root,5,12,13,4,2
cell_3,3,terminal,6,13,3,6,3
cell_4,3,terminal,6,13,3,6,4
cell_5,3,terminal,6,13,3,6,5
cell_6,13,internal_or_root,5,12,13,4,6
cell_7,11,internal_or_root,3,6,11,2,7
cell_8,11,internal_or_root,3,6,11,2,8
cell_9,6,internal_or_root,2,5,6,1,9
cell_10,11,internal_or_root,3,6,11,2,10
cell_11,5,internal_or_root,1,4,5,0,11
cell_12,6,internal_or_root,2,5,6,1,12
cell_13,3,terminal,6,13,3,5,13
cell_14,13,internal_or_root,5,12,13,4,14
cell_15,6,internal_or_root,2,5,6,1,15
cell_16,9,internal_or_root,5,8,9,4,16
cell_17,3,terminal,6,13,3,6,17
cell_18,3,terminal,6,13,3,6,18
cell_19,12,internal_or_root,4,11,12,3,19
cell_20,3,terminal,6,13,3,5,20
cell_21,3,terminal,6,13,3,5,21
cell_22,3,terminal,6,13,3,6,22
cell_23,13,internal_or_root,5,12,13,4,23
cell_24,11,internal_or_root,3,6,11,2,24
cell_25,3,terminal,6,13,3,6,25
cell_26,3,terminal,6,13,3,6,26
cell_27,3,terminal,6,13,3,6,27
cell_28,3,terminal,6,13,3,6,28
cell_29,3,terminal,6,13,3,6,29
cell_30,3,terminal,6,13,3,6,30
cell_31,3,terminal,6,13,3,6,31
cell_32,3,terminal,6,13,3,5,32
cell_33,6,internal_or_root,2,5,6,1,33
cell_34,11,internal_or_root,3,6,11,2,34
cell_35,5,internal_or_root,1,4,5,0,35
cell_36,5,internal_or_root,1,4,5,0,36
cell_37,10,internal_or_root,5,8,10,4,37
cell_38,7,internal_or_root,3,6,7,2,38
cell_39,7,internal_or_root,3,6,7,2,39
cell_40,9,internal_or_root,5,8,9,4,40
cell_41,3,terminal,6,13,3,6,41
cell_42,3,terminal,6,13,3,5,42
cell_43,3,terminal,6,13,3,6,43
cell_44,3,terminal,6,13,3,6,44
cell_45,12,internal_or_root,4,11,12,3,45
cell_46,3,terminal,6,13,3,5,46
cell_47,3,terminal,6,13,3,6,47
cell_48,3,terminal,6,13,3,5,48
cell_49,3,terminal,6,13,3,5,49
cell_50,3,terminal,6,13,3,6,50
cell_51,3,terminal,6,13,3,6,51
cell_52,3,terminal,6,13,3,6,52
cell_53,3,terminal,6,13,3,6,53
cell_54,3,terminal,6,13,3,5,54
cell_55,13,internal_or_root,5,12,13,4,55
cell_56,12,internal_or_root,4,11,12,3,56
cell_57,8,internal_or_root,4,7,8,3,57
cell_58,1,terminal,6,9,1,5,58
cell_59,5,internal_or_root,1,4,5,0,59
cell_60,6,internal_or_root,2,5,6,1,60
cell_61,12,internal_or_root,4,11,12,3,61
cell_62,3,terminal,6,13,3,6,62
cell_63,11,internal_or_root,3,6,11,2,63
cell_64,6,internal_or_root,2,5,6,1,64
cell_65,3,terminal,6,13,3,6,65
cell_66,3,terminal,6,13,3,6,66
cell_67,3,terminal,6,13,3,5,67
cell_68,3,terminal,6,13,3,6,68
cell_69,3,terminal,6,13,3,5,69
cell_70,3,terminal,6,13,3,5,70
cell_71,12,internal_or_root,4,11,12,3,71
cell_72,12,internal_or_root,4,11,12,3,72
cell_73,3,terminal,6,13,3,6,73
cell_74,3,terminal,6,13,3,6,74
cell_75,3,terminal,6,13,3,6,75
cell_76,3,terminal,6,13,3,6,76
cell_77,13,internal_or_root,5,12,13,4,77
cell_78,3,terminal,6,13,3,6,78
cell_79,13,internal_or_root,5,12,13,4,79
cell_80,3,terminal,6,13,3,6,80
cell_81,3,terminal,6,13,3,5,81
cell_82,3,terminal,6,13,3,6,82
cell_83,3,terminal,6,13,3,6,83
cell_84,3,terminal,6,13,3,5,84
cell_85,3,terminal,6,13,3,6,85
cell_86,3,terminal,6,13,3,6,86
cell_87,3,terminal,6,13,3,6,87
cell_88,3,terminal,6,13,3,6,88
cell_89,3,terminal,6,13,3,6,89
cell_90,3,terminal,6,13,3,6,90
cell_91,3,terminal,6,13,3,6,91
cell_92,3,terminal,6,13,3,6,92
cell_93,3,terminal,6,13,3,6,93
cell_94,3,terminal,6,13,3,6,94
cell_95,3,terminal,6,13,3,6,95
cell_96,3,terminal,6,13,3,6,96
cell_97,13,internal_or_root,5,12,13,4,97
